claim_type,claim_amount,fraudulent,coverage,deductible,townsize,gender,edcat,job_start_date,retire,income,marital
Wind/Hail,4.38,No,56,1000,"> 250,000",Male,High school degree,7/17/71,Yes,10,Married
Theft/Vandalism,2.487,No,110,1000,"10,000-49,999",Female,Did not complete high school,3/25/97,No,32,Unmarried
Fire/Smoke,70,No,70,1000,"> 250,000",Female,Some college,1/14/03,No,30,Unmarried
Fire/Smoke,46.705,No,98,3000,"50,000-249,999",Female,Some college,8/13/96,No,32,Unmarried
Theft/Vandalism,3.0051,Yes,61,500,"> 250,000",Female,High school degree,4/14/04,No,23,Married
Fire/Smoke,159.723,No,431,1000,"< 2,500",Female,High school degree,9/27/06,No,48,Unmarried
Water damage,108.224,No,985,2000,"2,500-9,999",Male,Some college,4/9/02,No,79,Unmarried
Fire/Smoke,85,No,85,3000,"50,000-249,999",Female,College degree,5/27/07,No,45,Married
Fire/Smoke,96.383,No,261,1000,"50,000-249,999",Male,College degree,8/13/99,No,82,Unmarried
Theft/Vandalism,12.491,No,145,2000,"10,000-49,999",Male,College degree,11/2/00,Yes,17,Unmarried
Theft/Vandalism,13.547,No,154,1000,"50,000-249,999",Male,College degree,8/14/80,Yes,68,Unmarried
Contamination,422.649,No,1025,3000,"10,000-49,999",Female,Some college,8/28/89,No,299,Unmarried
Theft/Vandalism,88.45,No,607,2000,"50,000-249,999",Male,High school degree,8/25/94,No,58,Unmarried
Theft/Vandalism,4.7859,Yes,84,1000,"50,000-249,999",Male,College degree,3/6/08,No,25,Married
Fire/Smoke,450,No,450,3000,"< 2,500",Male,Some college,4/18/08,No,24,Married
Theft/Vandalism,135.074,No,945,3000,"> 250,000",Female,Some college,9/3/83,Yes,51,Married
Contamination,136,No,136,3000,"> 250,000",Male,Did not complete high school,8/22/02,No,39,Unmarried
Water damage,25.02885,Yes,216,3000,"< 2,500",Female,Some college,11/19/08,No,50,Unmarried
Water damage,7.803,No,83,500,"10,000-49,999",Female,College degree,12/1/95,No,36,Married
Theft/Vandalism,30.227,No,567,3000,"10,000-49,999",Male,College degree,10/18/00,No,82,Married
Contamination,162.38,No,408,2000,"2,500-9,999",Male,Did not complete high school,2/22/76,No,97,Married
Theft/Vandalism,3.368,No,91,1000,"10,000-49,999",Female,High school degree,11/11/08,No,15,Unmarried
Wind/Hail,20.384,No,335,3000,"> 250,000",Male,College degree,8/15/06,No,228,Unmarried
Wind/Hail,14.5,No,91,1000,"2,500-9,999",Male,High school degree,4/3/95,No,30,Married
Water damage,8.97435,Yes,73,2000,"< 2,500",Male,Post-undergraduate degree,4/5/77,Yes,23,Unmarried
Fire/Smoke,16.806,No,59,1000,"> 250,000",Male,Some college,1/9/81,Yes,18,Married
Contamination,46.424,No,127,3000,"50,000-249,999",Male,Some college,10/11/98,No,51,Unmarried
Contamination,86,Yes,86,2000,"10,000-49,999",Female,High school degree,4/22/73,Yes,15,Married
Fire/Smoke,49.642,No,109,2000,"50,000-249,999",Female,Did not complete high school,2/5/95,No,50,Unmarried
Theft/Vandalism,6.973,No,159,500,"> 250,000",Female,Some college,8/22/74,Yes,30,Unmarried
Wind/Hail,8.8368,Yes,120,3000,"> 250,000",Male,Post-undergraduate degree,11/21/08,No,38,Unmarried
Fire/Smoke,31.76,No,78,3000,"2,500-9,999",Female,College degree,11/12/05,No,46,Married
Water damage,34.649,No,265,500,"2,500-9,999",Female,College degree,5/7/02,No,80,Unmarried
Fire/Smoke,141.393,No,375,3000,"10,000-49,999",Female,High school degree,7/10/02,No,74,Unmarried
Fire/Smoke,104.765,No,245,3000,"2,500-9,999",Female,Did not complete high school,7/23/07,No,40,Unmarried
Fire/Smoke,43.81,No,116,3000,"50,000-249,999",Male,Some college,11/23/08,No,28,Unmarried
Water damage,24.8934,Yes,218,1000,"< 2,500",Male,Some college,10/29/91,No,34,Married
Wind/Hail,12.229,No,128,1000,"> 250,000",Female,College degree,8/20/92,No,95,Unmarried
Theft/Vandalism,6.465,No,258,1000,"2,500-9,999",Female,College degree,10/24/05,No,43,Unmarried
Wind/Hail,12.5853,Yes,290,1000,"50,000-249,999",Male,College degree,6/1/93,No,229,Married
Fire/Smoke,52.50525,Yes,104,1000,"10,000-49,999",Female,Some college,7/14/98,No,105,Married
Fire/Smoke,70,No,70,2000,"< 2,500",Male,High school degree,4/13/75,Yes,13,Married
Fire/Smoke,71.536,No,174,2000,"50,000-249,999",Male,College degree,5/6/06,No,34,Married
Theft/Vandalism,2.338,No,70,1000,"> 250,000",Female,Some college,8/24/06,No,18,Married
Theft/Vandalism,9.862,No,165,2000,"2,500-9,999",Female,College degree,7/8/07,No,68,Unmarried
Theft/Vandalism,15.46545,Yes,253,3000,"10,000-49,999",Female,Some college,12/31/97,No,40,Married
Fire/Smoke,36.791,No,105,500,"10,000-49,999",Female,Did not complete high school,11/12/85,Yes,12,Unmarried
Theft/Vandalism,6.708,No,132,2000,"> 250,000",Female,Some college,12/17/08,No,13,Married
Water damage,70.524,No,663,3000,"10,000-49,999",Male,College degree,9/29/07,No,33,Married
Fire/Smoke,31.676,No,87,3000,"10,000-49,999",Male,High school degree,9/27/02,No,20,Married
Fire/Smoke,94,No,94,1000,"50,000-249,999",Male,Some college,12/13/99,No,37,Unmarried
Contamination,43.964,No,115,1000,"> 250,000",Female,High school degree,8/27/07,No,29,Unmarried
Fire/Smoke,203,No,203,3000,"> 250,000",Male,College degree,9/23/06,No,42,Married
Wind/Hail,51.555,No,1151,3000,"2,500-9,999",Male,Post-undergraduate degree,11/13/03,No,99,Unmarried
Wind/Hail,6.134,No,96,2000,"> 250,000",Male,Did not complete high school,6/13/97,No,62,Married
Theft/Vandalism,20.90235,Yes,370,3000,"2,500-9,999",Female,College degree,10/9/03,No,66,Married
Fire/Smoke,405.647,No,1020,3000,"50,000-249,999",Male,Post-undergraduate degree,7/12/06,No,71,Unmarried
Theft/Vandalism,14.368,No,294,3000,"< 2,500",Female,High school degree,4/16/87,No,76,Unmarried
Fire/Smoke,179.893,No,387,3000,"> 250,000",Female,College degree,7/25/04,No,77,Married
Theft/Vandalism,2.331,No,65,500,"> 250,000",Female,College degree,10/3/74,Yes,19,Married
Wind/Hail,44.002,No,932,3000,"> 250,000",Male,Some college,4/11/81,Yes,40,Unmarried
Theft/Vandalism,14.468,No,320,1000,"> 250,000",Male,College degree,4/6/92,No,281,Married
Water damage,114.978,No,1101,3000,"> 250,000",Male,High school degree,4/14/76,No,117,Married
Wind/Hail,53.8,No,1120,3000,"10,000-49,999",Female,Some college,2/22/01,No,205,Married
Contamination,73,No,73,3000,"2,500-9,999",Male,Did not complete high school,12/13/92,No,40,Married
Wind/Hail,4.325,No,109,2000,"50,000-249,999",Female,Post-undergraduate degree,6/5/06,No,15,Unmarried
Theft/Vandalism,5.17,No,238,500,"2,500-9,999",Female,College degree,7/18/06,No,58,Unmarried
Wind/Hail,5.478,No,71,500,"10,000-49,999",Male,College degree,2/7/08,No,39,Unmarried
Theft/Vandalism,10.34,No,175,2000,"50,000-249,999",Male,Did not complete high school,12/1/85,Yes,22,Unmarried
Wind/Hail,3.67,No,73,500,"10,000-49,999",Female,Did not complete high school,4/24/78,Yes,20,Unmarried
Fire/Smoke,234,No,234,3000,"< 2,500",Male,Did not complete high school,8/8/78,No,91,Married
Water damage,36.115,No,331,2000,"50,000-249,999",Male,Some college,8/21/99,No,103,Married
Contamination,209.613,No,521,1000,"> 250,000",Male,Did not complete high school,3/29/74,No,250,Married
Fire/Smoke,43.781,No,104,1000,"2,500-9,999",Male,Did not complete high school,1/3/02,No,34,Unmarried
Water damage,30.116,No,208,1000,"50,000-249,999",Female,Some college,11/26/92,No,31,Unmarried
Theft/Vandalism,4.265,No,109,1000,"> 250,000",Male,Did not complete high school,11/7/83,Yes,10,Unmarried
Fire/Smoke,253,No,253,1000,"2,500-9,999",Female,College degree,2/1/08,No,131,Married
Theft/Vandalism,2.17875,Yes,75,1000,"> 250,000",Male,Did not complete high school,2/6/90,No,94,Married
Contamination,67.3995,Yes,170,3000,"> 250,000",Female,High school degree,11/25/08,No,22,Married
Wind/Hail,16.168,No,393,3000,"10,000-49,999",Male,High school degree,5/11/03,No,44,Married
Fire/Smoke,35.146,No,107,1000,"2,500-9,999",Female,Did not complete high school,1/20/95,No,56,Married
Theft/Vandalism,14.375,No,242,1000,"2,500-9,999",Female,Did not complete high school,11/29/03,No,33,Unmarried
Fire/Smoke,524.181,Yes,1209,3000,"2,500-9,999",Male,Post-undergraduate degree,8/25/89,No,247,Unmarried
Water damage,16.448,No,158,1000,"50,000-249,999",Male,College degree,3/15/05,No,39,Unmarried
Wind/Hail,42.531,No,789,2000,"2,500-9,999",Female,Some college,4/4/75,No,216,Unmarried
Fire/Smoke,454.012,No,1128,3000,"> 250,000",Male,College degree,6/24/84,Yes,21,Married
Theft/Vandalism,66.4524,Yes,1262,3000,"< 2,500",Female,High school degree,4/27/04,No,56,Unmarried
Wind/Hail,5.358,No,68,1000,"> 250,000",Male,High school degree,1/4/00,Yes,12,Married
Contamination,26.235,No,60,1000,"> 250,000",Male,Did not complete high school,3/4/80,Yes,16,Married
Theft/Vandalism,79.735,No,2091,3000,"50,000-249,999",Female,High school degree,3/9/74,No,511,Unmarried
Wind/Hail,19.168,No,284,1000,"10,000-49,999",Female,Some college,10/23/93,No,69,Unmarried
Fire/Smoke,119.25,No,302,3000,"10,000-49,999",Male,College degree,12/22/07,No,62,Married
Theft/Vandalism,9.2232,Yes,116,1000,"> 250,000",Female,Some college,5/22/91,No,82,Unmarried
Water damage,103.978,No,1045,3000,"2,500-9,999",Male,Did not complete high school,7/1/85,No,178,Married
Wind/Hail,16.493,No,218,1000,"> 250,000",Male,Some college,4/30/86,No,72,Unmarried
Fire/Smoke,435,No,435,3000,"> 250,000",Male,Some college,1/21/08,No,18,Married
Wind/Hail,21.041,No,551,3000,"< 2,500",Male,High school degree,7/20/06,No,33,Married
Theft/Vandalism,19.91,No,122,500,"> 250,000",Female,College degree,12/15/06,No,25,Unmarried
Theft/Vandalism,5.107,No,87,1000,"< 2,500",Female,Some college,7/15/02,No,42,Unmarried
Theft/Vandalism,2.77725,Yes,88,500,"50,000-249,999",Male,High school degree,9/20/94,No,51,Married
Fire/Smoke,185,No,185,1000,"2,500-9,999",Male,Post-undergraduate degree,1/4/03,No,45,Unmarried
Fire/Smoke,163.665,No,380,3000,"< 2,500",Male,College degree,10/6/93,No,59,Unmarried
Theft/Vandalism,7.654,No,199,500,"50,000-249,999",Male,College degree,5/3/07,No,69,Unmarried
Theft/Vandalism,40.408,No,727,3000,"10,000-49,999",Female,College degree,10/21/08,No,56,Unmarried
Theft/Vandalism,15.043,No,276,500,"2,500-9,999",Male,High school degree,9/6/91,No,56,Married
Contamination,421.369,No,1021,3000,"10,000-49,999",Male,Post-undergraduate degree,12/16/97,No,166,Married
Water damage,18.824,No,167,1000,"2,500-9,999",Female,High school degree,6/8/07,No,21,Married
Theft/Vandalism,9.551,No,285,3000,"50,000-249,999",Female,High school degree,2/10/08,No,25,Married
Theft/Vandalism,8.452,No,118,1000,"> 250,000",Female,Post-undergraduate degree,6/3/99,No,58,Married
Fire/Smoke,216.95205,Yes,567,3000,"2,500-9,999",Female,College degree,4/2/95,No,127,Married
Theft/Vandalism,8.678,No,146,1000,"50,000-249,999",Female,Did not complete high school,9/13/05,No,65,Married
Water damage,3.1206,Yes,80,500,"< 2,500",Female,College degree,5/18/08,No,20,Married
Theft/Vandalism,2.04,No,146,3000,"< 2,500",Female,Did not complete high school,7/15/07,No,24,Unmarried
Water damage,10.948,No,121,2000,"50,000-249,999",Male,High school degree,7/15/06,No,34,Unmarried
Wind/Hail,3.663,No,66,1000,"> 250,000",Male,College degree,4/3/03,Yes,13,Married
Contamination,65.105,No,188,1000,"2,500-9,999",Male,High school degree,10/19/01,No,44,Married
Wind/Hail,8.707,No,177,1000,"< 2,500",Male,High school degree,3/18/97,No,80,Unmarried
Water damage,47.848,No,436,1000,"10,000-49,999",Female,Did not complete high school,9/20/83,No,84,Unmarried
Wind/Hail,4.915,No,104,500,"50,000-249,999",Female,College degree,8/16/04,No,55,Unmarried
Water damage,62.651,No,442,1000,"< 2,500",Male,Post-undergraduate degree,10/1/94,No,195,Married
Fire/Smoke,17.06,No,54,1000,"50,000-249,999",Female,High school degree,12/28/08,No,14,Married
Fire/Smoke,143,No,143,3000,"< 2,500",Male,College degree,7/20/03,No,68,Married
Wind/Hail,20.625,No,472,1000,"2,500-9,999",Female,High school degree,5/12/08,No,32,Married
Wind/Hail,3.2235,Yes,67,1000,"< 2,500",Female,College degree,7/21/04,Yes,10,Married
Theft/Vandalism,23.655,No,518,3000,"50,000-249,999",Female,High school degree,1/23/02,No,54,Married
Contamination,324,No,324,1000,"50,000-249,999",Male,Some college,11/13/08,No,61,Married
Theft/Vandalism,7.777,No,249,1000,"50,000-249,999",Male,High school degree,12/19/07,No,35,Unmarried
Wind/Hail,4.532,No,70,3000,"50,000-249,999",Male,Some college,1/12/07,No,19,Married
Wind/Hail,12.544,No,273,3000,"< 2,500",Female,Some college,9/10/89,No,101,Married
Fire/Smoke,81,No,81,1000,"50,000-249,999",Female,High school degree,6/11/97,No,35,Married
Fire/Smoke,186,No,186,1000,"> 250,000",Female,High school degree,3/27/68,Yes,101,Unmarried
Theft/Vandalism,19.7547,Yes,284,3000,"50,000-249,999",Male,High school degree,2/14/00,No,58,Unmarried
Theft/Vandalism,12.112,No,339,2000,"< 2,500",Male,College degree,11/22/01,No,115,Unmarried
Theft/Vandalism,10.337,No,125,500,"< 2,500",Female,College degree,2/25/95,Yes,59,Unmarried
Wind/Hail,5.069,No,112,3000,"> 250,000",Male,Post-undergraduate degree,2/2/98,No,111,Married
Wind/Hail,5.71,No,69,3000,"10,000-49,999",Female,High school degree,11/21/07,No,18,Unmarried
Contamination,44.164,No,94,1000,"> 250,000",Female,High school degree,8/17/92,No,114,Unmarried
Water damage,20.657,No,234,3000,"10,000-49,999",Female,College degree,9/28/08,No,13,Unmarried
Wind/Hail,4.844,No,168,1000,"> 250,000",Female,High school degree,8/13/00,No,93,Married
Theft/Vandalism,30.504,No,677,3000,"50,000-249,999",Female,High school degree,9/13/67,Yes,58,Unmarried
Theft/Vandalism,4.2777,Yes,110,500,"2,500-9,999",Male,High school degree,1/7/06,No,43,Unmarried
Contamination,33.908,No,111,1000,"< 2,500",Male,High school degree,2/10/05,No,53,Married
Fire/Smoke,46.469,No,112,2000,"> 250,000",Female,Some college,7/11/05,No,28,Married
Wind/Hail,11.35575,Yes,260,1000,"> 250,000",Female,High school degree,3/11/84,No,155,Unmarried
Theft/Vandalism,4.97,No,71,1000,"10,000-49,999",Female,High school degree,2/11/00,No,59,Married
Fire/Smoke,1065,No,1065,3000,"50,000-249,999",Female,Did not complete high school,8/15/97,No,40,Unmarried
Fire/Smoke,32.46,No,93,1000,"10,000-49,999",Male,High school degree,8/31/86,No,50,Married
Water damage,17.712,No,253,3000,"50,000-249,999",Male,College degree,3/24/02,No,78,Unmarried
Wind/Hail,12.42,No,208,1000,"50,000-249,999",Male,High school degree,9/3/98,No,69,Unmarried
Theft/Vandalism,18.486,No,306,1000,"> 250,000",Female,Some college,7/20/04,No,84,Unmarried
Fire/Smoke,103.208,No,281,3000,"2,500-9,999",Male,College degree,1/2/06,No,27,Married
Fire/Smoke,54.695,No,133,500,"< 2,500",Male,Post-undergraduate degree,1/7/03,No,22,Married
Wind/Hail,14.175,No,315,1000,"2,500-9,999",Male,College degree,12/6/06,No,243,Unmarried
Wind/Hail,6.1,No,115,1000,"2,500-9,999",Female,Some college,9/15/82,Yes,9,Married
Water damage,11.175,No,154,1000,"< 2,500",Female,College degree,4/2/92,No,130,Married
Wind/Hail,2.983,No,74,500,"50,000-249,999",Female,Some college,7/20/82,Yes,69,Unmarried
Wind/Hail,11.393,No,262,1000,"2,500-9,999",Female,College degree,9/22/02,No,77,Unmarried
Wind/Hail,5.987,No,80,500,"10,000-49,999",Female,Some college,6/10/05,No,15,Married
Water damage,95.209,No,1000,3000,"50,000-249,999",Female,College degree,3/5/05,No,110,Unmarried
Water damage,10.422,No,142,1000,"10,000-49,999",Female,High school degree,7/3/08,No,38,Married
Theft/Vandalism,20.761,No,128,3000,"10,000-49,999",Male,Some college,1/16/03,No,40,Unmarried
Wind/Hail,6.322,No,162,1000,"10,000-49,999",Male,High school degree,3/11/82,No,68,Married
Theft/Vandalism,5.923,No,181,1000,"10,000-49,999",Female,Did not complete high school,10/17/00,No,44,Married
Wind/Hail,4.612,No,60,1000,"< 2,500",Female,High school degree,3/28/06,No,35,Married
Wind/Hail,18.49,No,333,1000,"50,000-249,999",Male,College degree,12/29/90,No,116,Unmarried
Theft/Vandalism,2.386,No,60,1000,"> 250,000",Female,Did not complete high school,9/22/83,Yes,13,Married
Theft/Vandalism,66.84,No,918,2000,"50,000-249,999",Female,High school degree,7/5/98,No,107,Unmarried
Contamination,316,No,316,3000,"2,500-9,999",Female,Some college,6/20/04,No,48,Married
Water damage,95.196,No,955,2000,"> 250,000",Female,College degree,1/19/05,No,54,Married
Fire/Smoke,329.407,No,855,3000,"10,000-49,999",Female,High school degree,5/1/97,No,94,Unmarried
Fire/Smoke,25.261,No,82,1000,"> 250,000",Female,College degree,1/1/06,No,61,Unmarried
Contamination,134.463,No,303,1000,"10,000-49,999",Female,Did not complete high school,7/20/97,No,51,Unmarried
Wind/Hail,24.687,No,479,1000,"> 250,000",Female,College degree,5/10/04,No,189,Unmarried
Contamination,127.889,No,310,1000,"2,500-9,999",Female,Post-undergraduate degree,1/25/97,No,138,Married
Theft/Vandalism,38.914,No,737,3000,"10,000-49,999",Female,College degree,2/28/06,No,76,Married
Fire/Smoke,161,No,161,500,"2,500-9,999",Female,Some college,8/27/99,No,58,Married
Water damage,52.845,No,587,3000,"50,000-249,999",Male,High school degree,6/5/95,No,52,Married
Wind/Hail,24.112,No,282,3000,"10,000-49,999",Male,Some college,11/24/01,No,96,Married
Wind/Hail,5.787,No,134,2000,"> 250,000",Male,Some college,10/12/03,No,49,Married
Theft/Vandalism,5.998,No,60,500,"< 2,500",Female,High school degree,11/5/08,No,19,Married
Fire/Smoke,30.87735,Yes,73,500,"10,000-49,999",Female,High school degree,6/20/99,No,58,Unmarried
Fire/Smoke,69.287,No,156,3000,"> 250,000",Female,Some college,10/9/03,No,33,Married
Wind/Hail,43.214,No,862,2000,"> 250,000",Male,Some college,4/17/96,No,184,Unmarried
Wind/Hail,2.858,No,67,500,"2,500-9,999",Male,College degree,10/5/85,Yes,11,Married
Fire/Smoke,147.2814,Yes,298,2000,"2,500-9,999",Male,High school degree,11/2/96,No,57,Unmarried
Water damage,3.385,No,87,500,"50,000-249,999",Female,High school degree,1/13/70,Yes,30,Married
Water damage,95.28,No,966,3000,"2,500-9,999",Female,Post-undergraduate degree,7/22/03,No,116,Unmarried
Theft/Vandalism,2.545,No,71,500,"< 2,500",Male,High school degree,2/10/03,Yes,9,Unmarried
Wind/Hail,7.349,No,90,500,"> 250,000",Male,High school degree,2/16/79,Yes,36,Married
Theft/Vandalism,6.937,No,173,3000,"50,000-249,999",Female,College degree,5/10/78,No,110,Married
Theft/Vandalism,17.826,No,315,3000,"10,000-49,999",Male,Did not complete high school,4/13/06,No,29,Unmarried
Theft/Vandalism,30.267,No,591,2000,"50,000-249,999",Male,High school degree,11/4/90,No,52,Married
Wind/Hail,56.635,No,1146,3000,"> 250,000",Female,High school degree,4/23/86,No,100,Unmarried
Theft/Vandalism,1.771,No,94,2000,"< 2,500",Male,Some college,4/17/02,No,34,Unmarried
Theft/Vandalism,7.351,No,155,1000,"> 250,000",Male,High school degree,12/2/08,No,19,Unmarried
Water damage,28.69,No,256,1000,"2,500-9,999",Male,High school degree,11/3/71,Yes,37,Unmarried
Theft/Vandalism,13.8369,Yes,431,2000,"2,500-9,999",Female,Some college,6/22/06,No,24,Married
Theft/Vandalism,11.333,No,124,2000,"10,000-49,999",Female,High school degree,6/26/99,No,45,Married
Theft/Vandalism,3.655,No,94,2000,"50,000-249,999",Female,High school degree,4/6/94,No,58,Married
Theft/Vandalism,7.217,No,166,1000,"< 2,500",Male,High school degree,10/8/00,No,54,Married
Water damage,10.598,No,85,1000,"< 2,500",Female,High school degree,11/10/99,No,57,Married
Fire/Smoke,90.5562,Yes,207,1000,"50,000-249,999",Female,College degree,2/28/08,No,76,Married
Theft/Vandalism,2.192,No,65,1000,"50,000-249,999",Male,Did not complete high school,11/16/08,No,16,Unmarried
Theft/Vandalism,49.625,No,1018,3000,"10,000-49,999",Male,Some college,2/10/95,No,111,Unmarried
Water damage,8.617,No,78,2000,"> 250,000",Male,College degree,4/11/00,No,74,Married
Theft/Vandalism,16.717,No,136,1000,"< 2,500",Female,High school degree,6/3/06,No,22,Married
Theft/Vandalism,20.502,No,535,3000,"2,500-9,999",Female,Some college,3/19/99,No,105,Married
Wind/Hail,1.887,No,68,2000,"2,500-9,999",Female,Some college,10/13/08,No,19,Married
Fire/Smoke,44.071,No,107,2000,"50,000-249,999",Male,College degree,3/27/89,Yes,48,Married
Fire/Smoke,87.728,No,240,2000,"50,000-249,999",Female,Some college,10/6/05,No,42,Married
Wind/Hail,6.671,No,189,3000,"2,500-9,999",Female,High school degree,1/28/86,No,122,Unmarried
Fire/Smoke,146,No,146,1000,"50,000-249,999",Female,High school degree,11/9/95,No,47,Married
Fire/Smoke,71.659,No,183,2000,"50,000-249,999",Male,College degree,7/11/99,No,117,Married
Theft/Vandalism,17.087,No,447,1000,"> 250,000",Female,High school degree,6/14/00,No,54,Married
Theft/Vandalism,3.883,No,87,1000,"50,000-249,999",Male,High school degree,9/18/08,No,18,Married
Water damage,67.909,No,670,2000,"> 250,000",Male,High school degree,11/24/02,No,48,Unmarried
Fire/Smoke,33.08655,Yes,80,1000,"> 250,000",Male,Did not complete high school,3/1/07,No,19,Unmarried
Theft/Vandalism,11.09745,Yes,209,1000,"50,000-249,999",Female,Some college,3/23/06,No,76,Unmarried
Fire/Smoke,89,No,89,2000,"10,000-49,999",Female,Did not complete high school,8/20/65,Yes,10,Married
Water damage,115.063,No,1056,3000,"10,000-49,999",Male,College degree,7/1/93,No,271,Married
Contamination,68.442,No,149,3000,"50,000-249,999",Male,High school degree,7/22/93,No,95,Married
Fire/Smoke,109,No,109,500,"> 250,000",Female,High school degree,12/23/86,No,67,Married
Fire/Smoke,55.74135,Yes,111,1000,"50,000-249,999",Male,Did not complete high school,10/15/02,No,34,Unmarried
Theft/Vandalism,3.20565,Yes,87,3000,"10,000-49,999",Female,Some college,5/17/08,No,19,Married
Water damage,8.983,No,80,1000,"> 250,000",Male,Some college,2/5/08,No,23,Unmarried
Fire/Smoke,76.866,No,174,1000,"10,000-49,999",Female,College degree,8/1/08,No,23,Married
Wind/Hail,10.623,No,162,1000,"10,000-49,999",Female,High school degree,5/2/00,No,50,Unmarried
Wind/Hail,19.353,No,333,3000,"> 250,000",Male,High school degree,9/1/99,No,33,Unmarried
Theft/Vandalism,6.552,No,126,3000,"< 2,500",Male,College degree,12/8/08,No,80,Married
Theft/Vandalism,2.212,No,132,1000,"50,000-249,999",Male,Post-undergraduate degree,10/9/84,No,210,Married
Wind/Hail,6.61185,Yes,59,1000,"10,000-49,999",Female,Some college,5/21/08,No,27,Unmarried
Fire/Smoke,58.367,No,144,1000,"> 250,000",Male,College degree,12/27/00,No,38,Unmarried
Water damage,25.57,No,261,3000,"2,500-9,999",Female,Some college,1/22/06,No,59,Married
Contamination,110,No,110,500,"> 250,000",Female,Did not complete high school,5/18/00,No,51,Married
Water damage,85.872,No,1077,3000,"2,500-9,999",Female,College degree,1/17/86,No,552,Unmarried
Wind/Hail,7.48,No,231,1000,"> 250,000",Female,High school degree,5/13/90,Yes,23,Married
Theft/Vandalism,3.745,No,118,3000,"50,000-249,999",Male,High school degree,1/21/05,No,61,Unmarried
Wind/Hail,2.7258,Yes,212,1000,"2,500-9,999",Male,Some college,2/22/05,No,79,Unmarried
Fire/Smoke,437,No,437,1000,"2,500-9,999",Male,High school degree,12/3/03,No,51,Unmarried
Fire/Smoke,1066,Yes,1066,3000,"10,000-49,999",Male,High school degree,9/25/96,No,63,Unmarried
Theft/Vandalism,9.217,No,109,1000,"50,000-249,999",Female,Some college,2/27/03,No,44,Married
Water damage,7.865,No,92,1000,"10,000-49,999",Male,Some college,10/6/08,No,30,Unmarried
Fire/Smoke,109.448,No,283,1000,"10,000-49,999",Female,Did not complete high school,8/14/08,No,45,Unmarried
Contamination,61.927,No,150,500,"> 250,000",Male,College degree,7/30/01,No,33,Unmarried
Fire/Smoke,445.2567,Yes,1064,3000,"> 250,000",Female,Some college,11/30/01,No,33,Married
Wind/Hail,39.95775,Yes,569,1000,"> 250,000",Female,Some college,8/4/01,No,39,Unmarried
Wind/Hail,4.405,No,159,500,"50,000-249,999",Female,High school degree,9/21/82,Yes,22,Married
Theft/Vandalism,33.767,No,716,2000,"< 2,500",Female,High school degree,11/3/99,No,43,Married
Theft/Vandalism,39.881,No,700,1000,"10,000-49,999",Female,Some college,12/27/07,No,52,Unmarried
Theft/Vandalism,11.954,No,273,3000,"> 250,000",Male,College degree,10/3/95,No,65,Married
Water damage,6.618,No,91,1000,"> 250,000",Male,College degree,7/14/03,No,31,Married
Water damage,31.31,No,271,2000,"> 250,000",Female,High school degree,7/9/98,No,57,Unmarried
Fire/Smoke,184.917,No,473,2000,"50,000-249,999",Male,Some college,10/22/91,No,106,Unmarried
Water damage,26.325,No,236,1000,"10,000-49,999",Male,Did not complete high school,9/26/74,No,114,Married
Theft/Vandalism,4.735,No,110,1000,"10,000-49,999",Male,High school degree,2/15/04,No,28,Married
Fire/Smoke,129.583,No,333,2000,"> 250,000",Female,High school degree,1/16/75,No,141,Unmarried
Wind/Hail,11.227,No,256,3000,"2,500-9,999",Male,Some college,1/9/90,No,98,Married
Fire/Smoke,107.178,No,232,2000,"10,000-49,999",Male,College degree,6/6/03,No,68,Unmarried
Theft/Vandalism,10.8507,Yes,268,1000,"50,000-249,999",Female,High school degree,2/18/95,No,70,Unmarried
Theft/Vandalism,11.809,No,203,1000,"< 2,500",Male,Did not complete high school,3/22/07,No,30,Unmarried
Contamination,130,No,130,1000,"50,000-249,999",Male,Some college,11/25/90,No,55,Married
Theft/Vandalism,2.879,No,107,3000,"> 250,000",Female,Did not complete high school,11/8/72,Yes,52,Unmarried
Theft/Vandalism,23.014,No,153,1000,"50,000-249,999",Female,High school degree,9/16/06,No,29,Married
Theft/Vandalism,2.02,No,85,1000,"10,000-49,999",Female,Some college,2/21/08,No,16,Unmarried
Fire/Smoke,72,No,72,1000,"< 2,500",Male,High school degree,4/9/08,No,18,Unmarried
Water damage,49.14,No,453,3000,"> 250,000",Male,High school degree,9/13/08,No,18,Unmarried
Wind/Hail,142.296,No,2748,3000,"> 250,000",Female,College degree,8/5/96,No,253,Married
Theft/Vandalism,44.899,No,1089,3000,"< 2,500",Female,Did not complete high school,6/22/86,No,116,Unmarried
Theft/Vandalism,12.929,No,192,2000,"50,000-249,999",Male,Post-undergraduate degree,6/22/06,No,133,Married
Wind/Hail,38.24,No,728,3000,"10,000-49,999",Female,Did not complete high school,8/23/81,Yes,25,Unmarried
Theft/Vandalism,21.414,No,370,3000,"10,000-49,999",Male,High school degree,12/13/95,No,64,Unmarried
Fire/Smoke,338.852,No,846,3000,"50,000-249,999",Female,College degree,1/31/81,No,338,Unmarried
Water damage,29.734,No,310,3000,"2,500-9,999",Female,High school degree,3/7/03,No,43,Unmarried
Theft/Vandalism,66.074,No,1104,2000,"< 2,500",Male,Some college,4/29/64,No,252,Married
Wind/Hail,18.79815,Yes,369,1000,"> 250,000",Male,High school degree,7/23/08,No,16,Married
